uuid,dni,nombre,apellidos,telefono,direccion,localidad,fechaNacimiento
cc96e4a2-0abc-3daa-87f2-b7495a6ae260,'03811555H','Lola','De Jenes',616992514,'Ronda Aleix 5','Passeig Oliver','2002-04-05'
7b2686e5-01cf-355c-b34b-77ae66ffd904,'83747340Q','Juan',' Tijerina',624004492,'Avenida Otero 4','Avila','1994-04-23'
fc207196-8583-3917-b3a6-443ca93e25ef,'75023617D','D. Alberto','Viera Tercero',672285801,'Paseo Gabriel 13','Teruel','1987-11-04'
b9e9f368-a32f-3cb5-b860-82cfa3a3e82d,'23154026H','Margarita','Porras',629005962,'Avinguda Juan 64','Cantabria','1993-04-28'
4b0c1232-b0f4-3cb2-85c5-f62d1b362ad9,'76847615S','Vera','Henriquez',609933272,'Camino Fatima 123','Cantabria','1991-12-09'
1b+A4791692c-8ac4-3e00-bdfa-3749f128,'54679054G','Guillermo','Aguado Segundo',646325471,'Ronda Villalobos 32','Avila','2001-06-08'
694476d2-b213-3d05-8f82-b371b81a99ab,'82035223L','Sr. Unai','Baca Segundo',656190332,'Travessera Isaac 22','Las Palmas','1986-08-19'
37d8d125-52f6-38c6-a480-0b774d33d578,'00323000B','Mireia','Villalpando Tercero',664916455,'Plaza Lola 32','Badajoz','2004-10-23'
afba8c66-0e8d-3043-9206-905ec158b14d,'06132084P','Srta. Nil Ogeda','De la Fuente Hijo',640175733,'Ronda Alvarado 432','Barcelona','1984-08-02'
9eae39d8-1286-338c-9ccc-febb7a0960d7,'35764985P','Srta. Aina','Echevarria Abrego',666040864,'Avinguda Barrera 67','Badajoz','1972-05-10'
9fe6dc3e-d2ce-3ab3-aae9-e5c4f48df1a1,'90106375B','Guillem',' Quintero',659616591,'Ronda Elsa 2','Girona','2004-08-30'
399be0a2-9285-3f8c-bb30-3cab5e43acd4,'02095975P','Ian','Bravo Botello',624540969,'Praza Pereira 3','Alava','1978-11-04'
9d66f444-253a-3288-bf4b-da0346060e37,'31823042N','Gonzalo','Gaona Hijo',692360888,'Camino Gael 4','Alava','2000-07-28'
e59fdfe5-840a-3cdb-af1a-31d98b2f7863,'60839427B','Francisco','Alcaraz',636564000,'Calle Delapaz 5','Burgos','2003-08-03'
075d1279-e8c8-3868-a3c4-2f43cefa7b49,'72877085K','Bruno','Cortes Mesa',622282154,'Camino Batuelos 5','Guipuzcoa','1999-03-06'
44b61fb5-7364-3dfd-ad25-13453efd9b5c,'90521192T','Eval','Carbaja Barroso',661872660,'Ruela Angel 6','Cadiz','1991-08-14'
f17ab904-7359-34c6-9896-95c828332658,'23679838G','Aitor ','Segundo Berraos',649267024,'Plaza Ignacio 7','A Coruña','2005-02-05'
81942ad5-70b4-38de-aa41-4a17ac40bcf6,'59233013D','Celia','Taballez Segundo',604464547,'Camino Rubio 8','Teruel','1978-01-15'
27648b5e-051f-3d9e-ab66-f05dd4211f74,'19414270Q','Eduardo','Alvarez',676202186,'Carrer Rivas 9','Avila','1987-01-07'
5bfc8d60-db56-39b8-8910-ac24b1c0e937,'11719886Y','Ing. Dario',' Rojo Tercero',690324833,'Travesaña Diego 10','Avila','1971-06-10'
e68bcfd2-dd91-3a83-84fa-38b17bf77af6,'04167463R','Daria Carolina',' Nava Segundo',609951814,'Praza Gonzalo 12','Cantabria','1974-11-08'
18729732-a351-3e51-8f9f-9e4ec1f97ef5,'69777496G','Marco','Nevarez Maga',625115293,'Camino Adrian 13','Ibiza','2019-06-07'
5bfc8d60-db56-39b8-8910-ac24b1c0e935,'90213084T','Unai',' Corona',647102012,'Praza Marina 111','Caceres','2000-03-04'
e588c751-3072-363c-bf1e-8f14cbedaed3,'80733746C','Daniel','Covarrubias Sanabria',649211810,'Camino Sofia 222','Ibiza','1997-02-17'
aaadb0fa-a96e-35bb-9fcc-20271f867c5e,'67224927K','Nora','Armijo',678517678,'Plaza Luis 367','Cadiz','1976-07-20'
39209447-3ffd-31a0-944f-71f2550e7ad5,'85237861E','Carlota','Esquibel Tercero',696575148,'Plaza Aitana 65','Zamora','1987-12-15'
4dd25d0b-f870-3cd8-b8a4-1c69df82fed2,'48541329J','Marcos','Raz Campos',656618592,'Plaza Rivero 56','Cantabria','1974-10-01'
8c7d8981-0787-3f87-b8eb-258a171c26f4,'00635628Y','Yaiza De Anda Hijo','Amparo Bueno',648476231,'Ruela Lola 87','Palencia','1986-07-18'
104942e2-2a79-3f88-b29b-d531fbfd6b93,'20630079E','Nerea','Llamas Angulo',672125386,'Carrer Mara 78','Burgos','2003-09-06'
16bc4e32-6db8-3001-b546-67c6f78d0313,'85487686K','Veronica','Carren Malave Hijo',650381729,'Travessera Alarcon A','Palencia','1983-04-26'
e68bcfd2-dd91-3a83-84fa-38b17bf77af5,'95085345X','Carla Puig','Vega Altamirano',626654443,'Passeig Ander 55','Salamanca','2001-01-11'
4bff0752-5af8-35b4-8e3f-3ee6a9542a7,'13963032P','Dr. Cristian','Mares',608672952,'Calle Lidia 56','Albacete','1999-04-21'
52814732-0c70-325c-9bc8-7c696c5b3de7,'85081928Y','Unai','Quintanilla Verduzco',662030526,'Calle Rubio 56','Girona','1967-01-24'
39786164-237f-32c9-a2b0-e22e15afbf2f,'37940699Z','Gerard','Biel Espinosa',672609277,'Ronda Marc 65','Avila','1973-09-17'
d9db876f-2b2e-34d3-9566-31e0437306fd,'20006581P','Yago','Nadia Adame',695678022,'Plaza Florez 66','Asturias','2004-05-18'
548bfd47-7931-3fec-ac54-bbaf969311c0,'92064009T','Inmaculada','Ozuna Tamez',686366785,'Travesa Aleix 67','Las Palmas','2001-06-18'
da3b368e-d75f-3e19-a0b3-e8454ec11c3e,'57188147G','Yolanda',' Lomeli Carballo',699024754,'Camino Menchaca 76','Lugo','1971-01-28'
94056002-047b-337e-8a05-43a7a5296bc5,'18450520N','Alfaro','Borrego',67892 1774,'Os Castro','Caceres','1983-11-07'
ff2d44ea-7437-3dc0-ae20-ee6d9be37082,'80802978E','Luna','Mireia Zabala',696097662,'Avinguda Diego 77','Caceres','1999-04-02'
f9a0dc00-ef3d-3c8e-a14f-eb1732ee13bc,'82838589H','Nahia',' Covarrubias Rosas',668360911,'Plaza Eva 21','Caceres','2002-05-17'
89e16e10-566f-3905-a700-e941c1f8e90f,'27096489M','Francisco Javier','Roman',680416207,'Calle Garibay 3','Burgos','2000-04-28'
cae40185-58c9-369a-be9a-28948453e988,'73752345Q','Cristian','Centeno',667100943,'Avinguda Tijerina 1','Las Palmas','2002-08-24'
f3e41661-c132-3338-860e-7bde96b4c484,'58023228R','Nerea','Prado',673865782,'Travessera Espinosa 2','Huesca','1986-05-05'
95a342b4-e3d8-3761-beba-2b610ac3fc77,'71278618P','Hector','Saldaza Gomez',655035742,'Avinguda Cesar 3','Burgos','1996-11-30'
21152f4b-b280-380c-971a-bc54c2a72765,'02354537G','Mateo','Griego Armendriz',698964737,'Camino Mara Dolores 2','Cantabria','1988-07-09'
641c67b2-df77-392f-9ef2-b0cb29ff9f7f,'57583717C','Valeria','Estrada Rocha',659649582,'Passeig Casillas','Zamora','2001-08-31'
30a37f22-45bd-3ea3-b910-c15f2d20b8cb,'88480554Z','Nuria','Ballesteros Vela',686327345,'Travessera Gonzalo','Zamora','1991-12-18'
9c496750-76d5-3868-84b1-cf9e0b02a61a,'80336977R','Sra. Patricia','Velazquez',633992687,'Avinguda Pantoja','Zamora','1995-07-18'
4c2aab6e-9f42-34a8-8f7e-1649e3906574,'65100914N','Antonio Marian','Caballero',650114838,'Ronda Haro','Cantabria','1974-12-16'
1e2d2465-5825-372c-9cd8-05f2611ba3ed,'70700931N','Olga','Razo Melandez',690548339,'Camino Andres','Cadiz','1975-07-28'
