IBAN,clientes,tipoCuenta,saldo,nominaMes,mediaNomina
ES5630637645145809278031,'cc96e4a2-0abc-3daa-87f2-b7495a6ae260','Ahorros',51.858,980,980
ES1710016934156652502155,'7b2686e5-01cf-355c-b34b-77ae66ffd904','Ahorros',8792.15,1017,1000
ES1831043321193688784620,'fc207196-8583-3917-b3a6-443ca93e25ef','Personal',112.24,1200,996.43
ES1130577656117414915251,'b9e9f368-a32f-3cb5-b860-82cfa3a3e82d','Personal',297613.97,3258.6,3200
ES3701681366715524583976,'4b0c1232-b0f4-3cb2-85c5-f62d1b362ad9','Ahorros',23.81,525.14,706
ES7901498602996700119149,'1b91692c-8ac4-3e00-bdfa-3749f1286c95','Personal',26409.2,2000,2000
ES5101540451110372336177,'694476d2-b213-3d05-8f82-b371b81a99ab','Personal',18274.6,3200,2700
ES9621052251244579154224,'81942ad5-70b4-38de-aa41-4a17ac40bcf6','Personal',45067.8,1500.2,3200
ES5312360852976796136917,'27648b5e-051f-3d9e-ab66-f05dd4211f74','Personal',28900.12,1200,1105
ES0600959276628273972408,'5bfc8d60-db56-39b8-8910-ac24b1c0e937','Ahorros',9548.47,339.4,700
ES8920284630252751199867,'d2330ee9-28bc-334e-9425-e36cf94454a1','Ahorros',1889.68,678,800
ES7130857979532315145902,'18729732-a351-3e51-8f9f-9e4ec1f97ef5','Ahorros',30.97,240.72,82
ES5304884925197529680601,'4bff0752-5af8-35b4-8e3f-3ee6a9542a77','Ahorros',7186.18,2800.01,3000
ES0302302987927362099451,'e588c751-3072-363c-bf1e-8f14cbedaed3','Ahorros',5725.7,1009.57,980
ES4400974726098512800357,'aaadb0fa-a96e-35bb-9fcc-20271f867c5e','Ahorros',0,0,0
ES6631830526966728022514,'39209447-3ffd-31a0-944f-71f2550e7ad5','Ahorros',10.2,35.64,40.67
ES7500971121095176874084,'4dd25d0b-f870-3cd8-b8a4-1c69df82fed2','Ahorros',5154.31,2375.17,2100
ES7500971121095176874085,'8c7d8981-0787-3f87-b8eb-258a171c26f4','Ahorros',1761.41,1000,1000
ES2331403726762961999171,'104942e2-2a79-3f88-b29b-d531fbfd6b93','Personal',47781.14,1500,1500
ES9731312596415195962344,'16bc4e32-6db8-3001-b546-67c6f78d0313','Personal',35814.81,1200,980
ES2220861851469588689149,'e68bcfd2-dd91-3a83-84fa-38b17bf77af5','Personal',33467.51,3950,2600
ES6302026203106361358740,'4836d5d5-8564-3599-8474-4322cb7bc54c','Personal',10051.73,1000.77,1336.8
ES5501040751340464595783,'52814732-0c70-325c-9bc8-7c696c5b3de7','Personal',40041.34,1124.8,1300
ES6701825551713755545241,'39786164-237f-32c9-a2b0-e22e15afbf2f','Personal',322768.85,1500,980
ES8920527612316483781063,'d9db876f-2b2e-34d3-9566-31e0437306fd','Personal',47000.15,2000,2000
ES0401332951162192206717,'548bfd47-7931-3fec-ac54-bbaf969311c0','Ahorros',2125.97,980,1200
ES5900730382163175033645,'da3b368e-d75f-3e19-a0b3-e8454ec11c3e','Ahorros',2325.79,150,300
ES1714940026286407172485,'94056002-047b-337e-8a05-43a7a5296bc5','Ahorros',2205.96,770,800
ES7331215503589505142705,'ff2d44ea-7437-3dc0-ae20-ee6d9be37082','Personal',35737,1200,2200
ES9002270318890805824158,'f9a0dc00-ef3d-3c8e-a14f-eb1732ee13bc','Personal',15510.17,980,1750
ES4402099799289935670258,'89e16e10-566f-3905-a700-e941c1f8e90f','Personal',42341.82,1780,2000
ES5900587591630242128149,'cae40185-58c9-369a-be9a-28948453e988','Personal',24146.94,2984,2000
ES1220809917524711754473,'37d8d125-52f6-38c6-a480-0b774d33d578','Ahorros',55.7,55.7,55.7
ES3020405034477891655883,'afba8c66-0e8d-3043-9206-905ec158b14d','Ahorros',4747.6,365,500
ES0921033396840563506990,'9eae39d8-1286-338c-9ccc-febb7a0960d7','Ahorros',19134.54,1870.70,2200.20
ES7220117371954924952094,'9fe6dc3e-d2ce-3ab3-aae9-e5c4f48df1a1','Ahorros',2.29,110.62,350.50
